Sport,Franchise ID,City of Team,Team Name,Season Win Loss Record,Season Win Percentage,Season Payroll,Season,Season Start Month & Year,Season End Month & Year,"Playoff Round elminated (0 = missed playoffs, 5 = Won Championship)",,,,,,,,,,,,,,,,,,,
Hockey,7,Buffalo,Sabres,42-33-7,0.555,65265598,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,8,Philadelphia,Flyers,31-38-13,0.457,86618092,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,9,Vancouver,Canucks,38-37-7,0.506,87584806,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,10,Anaheim,Ducks,23-47-12,0.354,71619797,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,11,Boston,Bruins,65-12-5,0.823,85604066,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,12,Chicago,Blackhawks,26-49-7,0.36,81924351,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,13,New York,Rangers,47-22-13,0.652,83446494,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,14,Pittsburgh,Penguins,40-31-11,0.555,82137627,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,15,Detroit,Red Wings,35-37-10,0.488,74721594,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,16,St. Louis,Blues,37-38-7,0.494,80736327,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,17,Washington,Capitals,35-37-10,0.488,90158972,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,18,Florida,Panthers,42-32-8,0.561,87439609,2022-2023,2022-10-07,2023-04-13,4,,,,,,,,,,,,,,,,,,,
Hockey,19,Toronto,Maple Leafs,50-21-11,0.677,88921452,2022-2023,2022-10-07,2023-04-13,2,,,,,,,,,,,,,,,,,,,
Hockey,20,New Jersey,Devils,52-22-8,0.683,83608068,2022-2023,2022-10-07,2023-04-13,2,,,,,,,,,,,,,,,,,,,
Hockey,21,Los Angeles,Kings,47-25-10,0.634,80201091,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,22,New York,Islanders,42-31-9,0.567,81095304,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,23,Colorado,Avalanche,51-24-7,0.665,84427462,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,24,Edmonton,Oilers,50-23-9,0.665,90733951,2022-2023,2022-10-07,2023-04-13,2,,,,,,,,,,,,,,,,,,,
Hockey,25,Carolina,Hurricanes,52-21-9,0.689,89882029,2022-2023,2022-10-07,2023-04-13,3,,,,,,,,,,,,,,,,,,,
Hockey,26,Dallas,Stars,47-21-14,0.659,81981992,2022-2023,2022-10-07,2023-04-13,3,,,,,,,,,,,,,,,,,,,
Hockey,27,Ottawa,Senators,39-35-8,0.524,79241715,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,28,Minnesota,Wild,46-25-11,0.628,82114357,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,29,Vegas,Golden Knights,51-22-9,0.677,97162502,2022-2023,2022-10-07,2023-04-13,5,,,,,,,,,,,,,,,,,,,
Hockey,30,Montreal,Canadiens,31-45-6,0.415,95496168,2022-2023,2022-10-07,2023-04-13,0,,,,,,,,,,,,,,,,,,,
Hockey,31,Tampa Bay,Lightning,46-30-6,0.598,89814975,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,32,Winnipeg,Jets,46-33-3,0.579,81735703,2022-2023,2022-10-07,2023-04-13,1,,,,,,,,,,,,,,,,,,,
Hockey,1,San Jose,Sharks,32-37-13,0.47,76292867,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,2,Calgary,Flames,50-21-11,0.677,84765843,2021-2022,2021-10-12,2022-04-29,2,,,,,,,,,,,,,,,,,,,
Hockey,3,Columbus,Blue Jackets,37-38-7,0.494,69433690,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,4,Arizona,Coyotes,25-50-7,0.348,85587556,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,5,Nashville,Predators,45-30-7,0.591,71653906,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,6,Seattle,Kraken,27-49-6,0.366,71773775,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,7,Buffalo,Sabres,32-39-11,0.457,65994622,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,8,Philadelphia,Flyers,25-46-11,0.372,78678027,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,9,Vancouver,Canucks,40-30-12,0.561,85059198,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,10,Anaheim,Ducks,31-37-14,0.463,60305455,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,11,Boston,Bruins,51-26-5,0.652,81650744,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,12,Chicago,Blackhawks,28-42-12,0.415,81183562,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,13,New York,Rangers,52-24-6,0.671,82449595,2021-2022,2021-10-12,2022-04-29,3,,,,,,,,,,,,,,,,,,,
